alpha,time_seconds
0.60,1.9413931170129217
0.61,2.1674805369984824
0.62,2.111608653998701
0.63,2.100253854005132
0.64,2.1709314479958266
0.65,2.1072056719858665
0.66,2.1358904110093135
0.67,2.1428478240268305
0.68,2.107990365999285
0.69,2.060798157006502
0.70,2.092704456008505
0.71,2.0780221250024624
0.72,2.127869477000786
0.73,2.147105826996267
0.74,2.068704364995938
0.75,2.149064395984169
0.76,2.2389095860125963
0.77,2.218000631983159
0.78,2.181965473020682
0.79,2.072170721978182
0.80,2.120091898017563
0.81,2.1387174600095022
0.82,2.144845180999255
0.83,2.117072572989855
0.84,2.1454343190125655
0.85,2.1028015250049066
0.86,2.135449584980961
0.87,2.1141897160268854
0.88,2.247907775978092
0.89,2.282975095004076
0.90,2.2858664550003596
0.91,2.258134258998325
0.92,2.271601230982924
0.93,2.365772222983651
0.94,2.519221861992264
0.95,2.1952457260049414
0.96,2.208816364989616
0.97,2.4821700240136124
0.98,2.3265329329879023
